date,open,close,high,low,volume,code
2014-03-14,6.291,6.168,6.398,6.144,1303109.0,000002
2014-03-17,6.226,6.357,6.39,6.218,1177079.0,000002
2014-03-18,6.357,6.226,6.357,6.185,843899.0,000002
2014-03-19,6.152,6.144,6.177,5.931,1575462.0,000002
2014-03-20,6.144,6.152,6.332,6.062,1154551.0,000002
2014-03-21,6.201,6.562,6.619,6.103,2704395.0,000002
2014-03-24,6.562,6.603,6.693,6.431,1398770.0,000002
2014-03-25,6.586,6.537,6.717,6.472,957541.0,000002
2014-03-26,6.545,6.431,6.586,6.381,704058.0,000002
2014-03-27,6.39,6.537,6.635,6.332,1078006.0,000002
2014-03-28,6.496,6.652,6.75,6.488,1105309.0,000002
2014-03-31,6.685,6.627,6.734,6.521,678971.0,000002
2014-04-01,6.619,6.619,6.701,6.594,525249.0,000002
2014-04-02,6.668,6.791,6.881,6.644,1286559.0,000002
2014-04-03,6.799,6.635,6.873,6.611,986366.0,000002
2014-04-04,6.635,6.644,6.676,6.562,642858.0,000002
2014-04-08,6.594,6.676,6.742,6.504,961185.0,000002
2014-04-09,6.685,6.594,6.709,6.57,929854.0,000002
2014-04-10,6.586,6.594,6.619,6.406,1601694.0,000002
2014-04-11,6.553,6.512,6.562,6.463,775951.0,000002
2014-04-14,6.512,6.496,6.562,6.414,530246.0,000002
2014-04-15,6.439,6.357,6.48,6.308,758813.0,000002
2014-04-16,6.34,6.447,6.488,6.316,709656.0,000002
2014-04-17,6.455,6.349,6.463,6.332,457592.0,000002
2014-04-18,6.308,6.373,6.39,6.242,410082.0,000002
2014-04-21,6.316,6.275,6.39,6.267,454483.0,000002
2014-04-22,6.267,6.34,6.365,6.242,648158.0,000002
2014-04-23,6.324,6.381,6.414,6.308,467835.0,000002
2014-04-24,6.414,6.545,6.635,6.365,1396402.0,000002
2014-04-25,6.611,6.504,6.644,6.472,697631.0,000002
2014-04-28,6.537,6.529,6.685,6.488,968451.0,000002
2014-04-29,6.48,6.504,6.537,6.283,671097.0,000002
2014-04-30,6.447,6.472,6.537,6.365,395476.0,000002
2014-05-05,6.431,6.34,6.439,6.283,577174.0,000002
2014-05-06,6.34,6.381,6.472,6.34,463797.0,000002
2014-05-07,6.381,6.447,6.463,6.349,527230.0,000002
2014-05-08,6.464,6.352,6.551,6.326,751904.0,000002
2014-05-09,6.352,6.274,6.369,6.136,629680.0,000002
2014-05-12,6.291,6.326,6.421,6.214,517227.0,000002
2014-05-13,6.386,6.507,6.559,6.369,897278.0,000002
2014-05-14,6.611,6.594,6.767,6.577,931987.0,000002
2014-05-15,6.585,6.551,6.603,6.507,458698.0,000002
2014-05-16,6.551,6.654,6.741,6.551,962341.0,000002
2014-05-19,6.62,6.646,6.724,6.499,594646.0,000002
2014-05-20,6.654,6.689,6.724,6.603,685875.0,000002
2014-05-21,6.637,6.689,6.715,6.551,543435.0,000002
2014-05-22,6.698,6.819,6.862,6.68,921420.0,000002
2014-05-23,6.845,7.043,7.086,6.784,1338277.0,000002
2014-05-26,7.086,7.009,7.164,6.974,607556.0,000002
2014-05-27,7.009,7.061,7.13,6.965,800997.0,000002
2014-05-28,7.069,7.303,7.311,7.061,1557074.0,000002
2014-05-29,7.432,7.38,7.562,7.294,1666996.0,000002
2014-05-30,7.415,7.389,7.484,7.328,1061588.0,000002
2014-06-03,7.354,7.259,7.458,7.19,1184525.0,000002
2014-06-04,7.225,7.086,7.259,7.017,773771.0,000002
2014-06-05,7.069,7.182,7.216,7.043,476586.0,000002
2014-06-06,7.182,7.13,7.199,6.991,495191.0,000002
2014-06-09,7.061,7.173,7.398,7.017,826742.0,000002
2014-06-10,7.13,7.251,7.337,7.13,695095.0,000002
2014-06-11,7.242,7.259,7.363,7.19,579668.0,000002
2014-06-12,7.251,7.268,7.311,7.086,801011.0,000002
2014-06-13,7.242,7.285,7.328,7.156,635541.0,000002
2014-06-16,7.268,7.138,7.277,7.069,863513.0,000002
2014-06-17,7.13,7.017,7.13,6.948,685986.0,000002
2014-06-18,7.017,7.0,7.061,6.974,346365.0,000002
2014-06-19,7.026,6.905,7.043,6.888,405218.0,000002
2014-06-20,6.948,7.026,7.026,6.905,426682.0,000002
2014-06-23,7.026,7.043,7.069,6.983,249327.0,000002
2014-06-24,7.078,6.991,7.078,6.957,324250.0,000002
2014-06-25,7.026,7.026,7.035,6.879,536538.0,000002
2014-06-26,7.017,7.138,7.199,6.991,599034.0,000002
2014-06-27,7.147,7.19,7.242,7.112,550831.0,000002
2014-06-30,7.19,7.147,7.216,7.104,393736.0,000002
2014-07-01,7.164,7.0,7.164,6.965,609368.0,000002
2014-07-02,6.991,7.017,7.026,6.957,406331.0,000002
2014-07-03,7.009,7.043,7.061,7.0,288037.0,000002
2014-07-04,7.086,7.32,7.346,7.086,1358193.0,000002
2014-07-07,7.346,7.57,7.683,7.303,1460167.0,000002
2014-07-08,7.562,7.501,7.588,7.398,634375.0,000002
2014-07-09,7.51,7.398,7.57,7.38,623595.0,000002
2014-07-10,7.415,7.51,7.57,7.415,498934.0,000002
2014-07-11,7.657,7.614,7.726,7.553,849992.0,000002
2014-07-14,7.596,7.674,7.752,7.562,513882.0,000002
2014-07-15,7.657,7.657,7.691,7.64,375980.0,000002
2014-07-16,7.648,7.519,7.717,7.493,731638.0,000002
2014-07-17,7.51,7.441,7.562,7.32,705071.0,000002
2014-07-18,7.372,7.683,7.795,7.354,1025449.0,000002
2014-07-21,7.691,7.726,7.769,7.674,515900.0,000002
2014-07-22,7.691,7.933,7.959,7.674,875266.0,000002
2014-07-23,7.933,8.115,8.175,7.933,892432.0,000002
2014-07-24,8.141,8.443,8.486,8.141,1432468.0,000002
2014-07-25,8.486,8.478,8.547,8.27,738573.0,000002
2014-07-28,8.478,8.512,8.642,8.391,1220069.0,000002
2014-07-29,8.504,8.642,8.72,8.383,1066606.0,000002
2014-07-30,8.582,8.322,8.651,8.201,1633035.0,000002
2014-07-31,8.279,8.556,8.573,8.201,922418.0,000002
2014-08-01,8.469,8.417,8.625,8.409,903075.0,000002
2014-08-04,8.426,8.599,8.616,8.357,906383.0,000002
2014-08-05,8.616,8.417,8.616,8.357,822254.0,000002
2014-08-06,8.365,8.279,8.374,8.184,766842.0,000002
2014-08-07,8.262,8.227,8.34,8.193,691681.0,000002
2014-08-08,8.227,8.158,8.245,8.037,877855.0,000002
2014-08-11,8.158,8.305,8.365,8.158,701998.0,000002
2014-08-12,8.305,8.262,8.305,8.21,517427.0,000002
2014-08-13,8.305,8.253,8.322,8.124,531308.0,000002
2014-08-14,8.245,8.089,8.27,8.08,626639.0,000002
2014-08-15,8.08,8.124,8.21,8.08,418078.0,000002
2014-08-18,8.132,8.106,8.193,8.08,586810.0,000002
2014-08-19,8.149,8.124,8.149,8.063,581953.0,000002
2014-08-20,8.115,7.959,8.115,7.933,935990.0,000002
2014-08-21,7.933,8.063,8.072,7.795,973011.0,000002
2014-08-22,8.003,8.08,8.098,7.985,582370.0,000002
2014-08-25,8.063,7.916,8.063,7.873,532182.0,000002
2014-08-26,7.864,7.916,7.968,7.847,349707.0,000002
2014-08-27,7.916,7.916,8.003,7.873,333040.0,000002
2014-08-28,7.916,7.795,7.933,7.786,510218.0,000002
2014-08-29,7.821,7.882,7.907,7.795,316540.0,000002
2014-09-01,7.882,7.925,7.942,7.864,436507.0,000002
2014-09-02,7.942,7.994,7.994,7.873,610470.0,000002
2014-09-03,8.003,8.21,8.227,7.994,1170169.0,000002
2014-09-04,8.34,8.357,8.443,8.296,1100239.0,000002
2014-09-05,8.391,8.495,8.521,8.365,924771.0,000002
2014-09-09,8.495,8.314,8.495,8.279,630201.0,000002
2014-09-10,8.219,8.175,8.245,8.08,691210.0,000002
2014-09-11,8.141,8.158,8.279,8.115,704681.0,000002
2014-09-12,8.124,8.158,8.175,8.072,388227.0,000002
2014-09-15,8.089,7.994,8.089,7.951,961560.0,000002
2014-09-16,8.028,7.959,8.072,7.959,790173.0,000002
2014-09-17,8.011,8.011,8.037,7.968,675671.0,000002
2014-09-18,7.968,7.977,8.02,7.925,648544.0,000002
2014-09-19,7.977,8.02,8.02,7.933,660690.0,000002
2014-09-22,8.003,7.968,8.054,7.942,668230.0,000002
2014-09-23,8.072,8.063,8.21,8.02,879440.0,000002
2014-09-24,8.037,8.158,8.167,8.003,898003.0,000002
2014-09-25,8.201,8.115,8.227,8.089,789390.0,000002
2014-09-26,8.106,8.063,8.132,8.02,543491.0,000002
2014-09-29,8.063,7.968,8.063,7.907,873741.0,000002
